Category	Neg	Sent
	Roser	Outside the frame
	Emiel	Not a description/Meta

	not	a boy raises his arms amongst a crowd of people who are not in focus .

	Roser	Negation of attitude
	Emiel	Not a description/Meta

	n't	someone who does n't care about the earth was here .
	n't	this dog does n't seem to appreciate how awesome his hat is .

	Roser	Negation of action/behavior
	Emiel	Not a description/Meta

	n't	that hotdog just was n't going down right , was it the drinking or the burnt dog ?
	not	my two friends were working on our roof today and they just did not know where to start .
	not	depressed man who does not know what to do .
	not	a woman does not waste the nice day by reading on the beach .
	without	what 's a trip to the park without visiting the snack bar ?
	n't	lady does n't have time to speak to a real person .

	Roser	Negation of property
	Emiel	Not a description/Meta

	n't	that does n't look like mud on the horse rider .
	n't	roofer going to get the rest of his tools after realizing the chainsaw is n't the right tool for the job .

	Roser	Quotes and idioms
	Emiel	Not a description/Meta

	nothing	there 's nothing in the world like taking my kids out play and being a good dad .
	nothing	there 's nothing like a hot day at the races and smelling the rubber burn
	no	variety is the spice of life no matter what the culture may be .
	no	it seems like no matter when i read this , the news is always the same .
	nothing	"something seems to be better than nothing as a young adult male plays a violin near the entrance of a store with his violin case open ready to accept the "" tips "" of his fans ."

	Roser	False positive
	Emiel	Not a description/Meta

	fail	girl gets all her fingers cutoff trying to catch a frisbee , fail !

	Roser	Other
	Emiel	Not a description/Meta

	not	this bathtub is not staying in the old house .
	n't	why are n't these girls in the kitchen instead of playing with toys ?
	n't	a cloudy day in a city does n't keep away crowds of men and women on the sidewalks .
	not	this dude is asian , and works on computers all the time , not stereotyping .
	not	a lady thinking that she should not have bought such a hideous purse .
	not	my date is not coming on time .
	without	some elements are too small to visualize without a microscope .
	n't	board games are fun , unless you do n't get laid if you win .
	not	smoking is not good for health , it harms your lungs .
	no	the dog with all the comforts of home and yet still has no home .
	n't	run , run careful do n't hit the van .

	Roser	Not a description/Meta
	Emiel	Outside the frame

	not	a woman whose head is not visible walks in front of a bus with an advertisement on its side .
	not	three young , male members of a band , one of whose face is not shown , one who is playing a bass guitar , and one who is smiling .
	not	two young black men play basketball , number ten wears a gsu jersey with white , and the other player wears light blue and yellow , but his number is not pictured , players line the stands , as the coach screams .
	not	a foreign person walks with a material down a walkway heading through a residential area of a foreign country that is not recognizable through the photo .
	not	three boys on a basketball court , wearing team uniforms , are attempting to reach a basketball which is not photographed but appears to be descending just out of their reach .

	Roser	Salient absence
	Emiel	Outside the frame

	not	people playing pool , one is a man wearing a blue shirt and the others are women but their heads are not within the camera shot .
	without	there are 5 people on a stage without their face showing behind a red curtain
	no	no faces are shown in this picutre of jeans and sweatshirts .

	Roser	Negation of action/behavior
	Emiel	Negation of attitude

	n't	tourist wife upset with husband who ca n't makeup his mind .
	not	a stout gentleman does not know how to use his umbrella .

	Roser	Quotes and idioms
	Emiel	Negation of attitude

	n't	woman who just took pizza out of the oven and ca n't wait to eat it .

	Roser	Other
	Emiel	Negation of attitude

	not	onlookers are praying that the cowboy does not fall off the bull in the rodeo .

	Roser	Other
	Emiel	(Preventing) future events

	no	the person looks cautiously into traffic to be sure no car is coming .

	Roser	Negation of attitude
	Emiel	Negation of action/behavior

	n't	a man in a pinstriped suit walks down the street and does n't notice the quirky poster on his left .
	not	two men are showing a fighting move while one man appears not to be enjoying it too much .
	not	a blond girl sits at a bar next to a few other men who are not paying attention to her and she is sad .
	n't	three young people stand on a stage outside with guitars over their shoulders in front of a crowd , with one person in the crowd also holding a guitar , but many of the people in the crowd do n't seem to be too interested in what is happening on stage .
	not	a woman teaching a young girl not to be afraid of puppies .
	no	a brown dog pays no attention to a young woman dressed in black passing nearby .
	n't	a woman who appears to be a student , laughs at something that her male companion does n't seem to find amusing .
	not	young couple , the woman dressed in a black jacket , striped scarf and wearing blond pigtails seem to be engaged in a conversation , with the man not looking a little skeptical .
	no	an elderly looking man in europe is standing on top of a garbage can near the crosswalk as passersby take no notice .
	not	a man and women are holding hands and dancing with many people in the background but they are not paying attention to them .

	Roser	(Preventing) future events
	Emiel	Negation of action/behavior

	not	a person trying desperately not to be photographed by putting their sweater over their head as they compute .
	not	the cowboy in blue is trying not to be thrown off of the horse .

	Roser	Salient absence
	Emiel	Negation of action/behavior

	not	four guys three wearing hats one not are jumping at the top of a staircase .
	miss	four boys look at the basketball hoop , which is missing the netting .
	miss	a man in a blue and black jersey and missing one foot hits a volleyball from a sitting position .
	no	a boy rides a bicycle with no hands and a sign on his shirt in the shape of a lemon that says $ 1 .

	Roser	False positive
	Emiel	Negation of action/behavior

	miss	a cricket player misses the pitch .
	miss	a brown dog is trying to catch a flying disk but missed it .
	miss	the batter missed the ball .
	miss	a player swinging and missing a baseball .
	miss	man playing for a baseball team with a blue protective hat and baseball uniform , playing for south carolina , is swinging the bat and missing the ball .
	miss	missed that point by a landslide .
	miss	a white guy in the middle of missing another layup .
	miss	an umpire and a catcher diligently wait for the batter 's next missed ball .
	miss	man with number eleven uniform making a dive and missing the ball during a baseball game .
	miss	hockey goalie dressed in black with vaughn printed on pad , appearing to have missed the puck .
	miss	a girl hitting a softball but she missed the ball .
	miss	two female volleyball players on the court with the one in the front falling because she missed the ball .
	miss	the goalie of a ice hockey team misses the puck .
	fail	dark-skinned individual having a failed high jump attempt .
	miss	a man swinging a cricket bat and missing the ball .
	miss	men playing volleyball , with one player missing the ball but hands still in the air .
	miss	a batter playing cricket missed the ball and the person behind him is catching it .
	miss	a male tennis player , wearing a white headband , misses an in-bounds ball .
	miss	a cowboy is on the ground in a rodeo ring , holding onto his horse by a rope , just missing a calf .
	miss	a cricket player swings his bat , but misses .
	miss	two men playing soccer , and one man just missed the goal .
	miss	a softball player swinging at a softball and missing it .
	fail	after almost landing his ball in the water , a golfer fails at his recovery shot .
	miss	a female batter misses a yellow ball while another player practices behind her .
