Negation type	Category	Sentence
not	Negation of property	('not', 'park ranger dave cites a car for not having a license plate in the proper place .')
no	Quotes and idioms	('no', 'the man is wearing a no sleeve shirt and blue jeans on a graffiti wall .')
n't	(Preventing) future events	"(""n't"", ""skinny dark complected boy , jumping into a vast of water with his nose held so water does n't rush in ."")"
without	Salient absence	('without', 'a man is skateboarding on a ramp without any shoes .')
without	Salient absence	('without', 'a lot of guys standing around talking without their shirts on .')
not	Negation of attitude	('not', 'a woman on a bus that does not look very happy and the bus seems crowded .')
miss	Negation of action/behavior	"('miss', ""an umpire and a catcher diligently wait for the batter 's next missed ball ."")"
without	Salient absence	('without', 'man during sunny afternoon top of roof fixing light without shirt .')
not	Negation of action/behavior	('not', 'man in a dark blue snow jacket with black pants and blue snowshoes , tries to make it through to a snow covered entrance and does not quite make it .')
n't	Not a description/Meta	"(""n't"", ""run , run careful do n't hit the van ."")"
miss	Salient absence	('miss', 'a young girl with a front tooth missing dressed in a plaid skirt and blue shirt riding on a shopping cart in a grocery store .')
not	Other	('not', 'eight young girls in a school gym are on mats , wearing gym clothes and practicing cheerleader moves while in the background are the backs of two more young girls , not on the mats , who are also practicing moves .')
not	Negation of attitude	('not', 'this child is visiting the pet zoo for the first time and did not expect the deer to give him a kiss .')
miss	Negation of action/behavior	('miss', 'two female volleyball players on the court with the one in the front falling because she missed the ball .')
miss	Negation of action/behavior	('miss', 'a batter playing cricket missed the ball and the person behind him is catching it .')
lack	Salient absence	('lack', 'five people standing on a stage , getting ready to perform , who are unrecognizable due to the lack of lighting .')
not	Negation of attitude	('not', 'a woman with boots on sitting and not wanting a picture taken of her .')
no	Salient absence	('no', 'four horses with cowboy riders running near a fifth horse that has no rider .')
miss	Negation of action/behavior	('miss', 'the cricket player just misses catching the ball .')
not	Negation of property	('not', 'a woman wears her hair down and does not have her head covered like those around her .')
no	Salient absence	('no', 'two young boys with no shirt on , wearing shorts , and blue crocs on a rock .')
n't	(Preventing) future events	"(""n't"", ""a young boy sits atop his dad 's shoulders as his dad grasps his child 's feet so he wo n't fall ."")"
no	Salient absence	('no', 'three children wearing swim trunks and no shirts play in the surf .')
no	Salient absence	('no', 'a skateboarding man with no shirt does a trick and people walk in a busy city scene .')
n't	Negation of attitude	"(""n't"", ""a young man does n't understand why there is an egg on the table in front of him ."")"
not	Negation of property	('not', 'several people in white clothes and red handkerchiefs , and one man who is not dressed like the others , congregate in a wide alley .')
no	Salient absence	('no', 'someone in a red shirt and no shoes is sitting with their possessions on the road .')
no	Quotes and idioms	"('no', 'three people in skiing gear are standing behind a "" no skiing "" sign .')"
n't	Not a description/Meta	"(""n't"", ""the images are n't showing up , so i 'm going to assume the picture is lovely ."")"
not	Quotes and idioms	"('not', 'a man is holding a souvenir that says "" i \'m a photographer not a terrorist "" at what appears to be a rally somewhere in europe .')"
no	Salient absence	('no', 'a boy with no shirt and a volleyball in his hand .')
no	Salient absence	('no', 'a man wearing no shirt climbs the side of a large rock .')
no	Salient absence	('no', 'a young man with no shirt on is standing near a car with surfboards on it .')
miss	Negation of action/behavior	('miss', 'a girl hitting a softball but she missed the ball .')
not	Other	('not', 'this man is looking at shirts in a store where the language is not english .')
not	Other	('not', 'a man in football gear is running with the football with an opposing team member not far behind him going in for a tackle .')
not	Not a description/Meta	('not', 'smoking is not good for health , it harms your lungs .')
not	Quotes and idioms	"('not', 'a city street at night with a person under an umbrella and a "" do not enter "" sign .')"
without	Salient absence	('without', 'several men without shirts wrestle on the grass as a crowd watches')
miss	Negation of action/behavior	('miss', 'a man swinging a cricket bat and missing the ball .')
without	Salient absence	('without', 'three men are bathing in a canal without their shirts .')
no	Salient absence	('no', 'toddler boy with no shoes and pacifier has handheld .')
not	Outside the frame	('not', 'a young oriental girl receives help on a science project from an adult , not completely seen in the image .')
without	Salient absence	('without', 'a man without a shirt walking towards a gas station .')
no	Salient absence	('no', 'two groups of people crossing a street with no traffic , with multicolored multistory apartment buildings and a religious building in the background .')
no	Quotes and idioms	('no', 'a woman in a short dress standing by a no parking sign .')
not	Quotes and idioms	('not', 'the police are putting up a do not cross line , while many spectators watch .')
no	Salient absence	('no', 'hawaiian man wearing a lauhala with no shirt surrounded by tress is playing a wooded instrument while woman watches him .')
not	Salient absence	('not', 'woman with not a whole lot of clothes on playing on phone')
fail	False positive	('fail', 'girl gets all her fingers cutoff trying to catch a frisbee , fail !')
n't	Outside the frame	"(""n't"", ""a man is taking a picture of something you ca n't see off to the right ."")"
not	Quotes and idioms	"('not', 'a good-looking firefighter sets up "" do not cross "" tape in the city .')"
n't	Negation of attitude	"(""n't"", ""woman who just took pizza out of the oven and ca n't wait to eat it ."")"
no	Salient absence	('no', 'a man wearing jeans and no shirt is midair doing a kick flip on a skateboard .')
no	Salient absence	('no', 'a guy with no shirt and no shoes , who is painting the floor .')
not	Negation of action/behavior	('not', 'a small white car is on the train tracks and may or may not have been hit by the train behind it .')
no	Salient absence	('no', 'a man with no short and red pants is laying down on a sidewalk .')
no	Negation of action/behavior	('no', 'a statue at a museum that no seems to be looking at .')
miss	Negation of action/behavior	('miss', 'hockey goalie dressed in black with vaughn printed on pad , appearing to have missed the puck .')
n't	(Preventing) future events	"(""n't"", ""a boy is shaving a african american 's hair in a home setting he has clothing over him so he does n't get hair on himself ."")"
not	Negation of action/behavior	('not', 'two men on their laptops not talking to each other .')
nowhere	Quotes and idioms	('nowhere', 'a group of six people have jumped into the air in the middle of nowhere and one is catching a ball .')
no	Salient absence	('no', 'a young woman wearing a short black and white skirt and no shoes , carrying a toddler wearing a red outfit and a hat while walking into deeper water from the shallow water on a beach .')
not	(Preventing) future events	('not', 'a man is riding a bucking horse trying to hold on and not get thrown off .')
miss	Salient absence	('miss', 'a bike rider with khaki green shorts , a blue shirt , backpack and helmet is riding on the street near a red station wagon that is missing a hubcap on the back drivers side .')
n't	Not a description/Meta	"(""n't"", ""that does n't look like mud on the horse rider ."")"
not	Salient absence	('not', 'baby not wearing any clothing eating a meal on a green tray outside .')
not	Outside the frame	('not', 'a boy raises his arms amongst a crowd of people who are not in focus .')
not	(Preventing) future events	('not', 'two baseball players are trying to catch this ball and not dance with each other .')
n't	Not a description/Meta	"(""n't"", ""a cloudy day in a city does n't keep away crowds of men and women on the sidewalks ."")"
no	Salient absence	('no', 'many men , with black bags over their head and no shoes are being lead to a specific destination .')
not	Negation of action/behavior	('not', 'there is a little boy in a swimming pool area everything around the boy and the pool are wet however the boy is not swimming but instead he is jumping into the water with blue swimming trunks on and his arms out .')
no	Negation of action/behavior	('no', 'a boy selling lemonade for $ 1 rides his bike with no hands as he advertises his product to a long line of people .')
n't	Salient absence	"(""n't"", ""two young boys are outside talking and are n't wearing shirts ."")"
no	Salient absence	"('no', 'a tattooed man in overalls , no shirt and a baseball cap is holding a microphone in front of a crowd and giving the "" peace "" sign with his other hand .')"
without	Not a description/Meta	('without', 'some elements are too small to visualize without a microscope .')
no	Salient absence	('no', 'a young teen boy is skateboard wearing some long black shorts and no shirt on .')
without	Salient absence	('without', 'a man without a shirt on walking behind a maroon ford truck .')
no	Salient absence	('no', 'a man with no shoes sawing a piece of wood .')
fail	False positive	('fail', 'a line of people at a carnival game , with one woman failing her right arm .')
without	Salient absence	('without', 'a white male is wearing jean coat and pant while welding without eye protection .')
